,recording_msid,track_metadata.mbid_mapping.recording_mbid,artists,full_artists,full_track_name
123,986327f7-7a5a-4b8a-a349-ef22b0b8d17a,b01f6bd1-9955-4ca9-9501-e5516466b143,I Prevail,I Prevail,Annihilate Me - I Prevail
124,b10cf5a2-5f7b-44be-b78d-ee16d7d00c90,8e88d77c-bfbf-44a4-a3b5-ef23f746ac64,I Prevail,I Prevail,Breaking Down - I Prevail
125,4a15d887-08ac-4c9e-972d-dca21cf3ed7b,1c9dacce-a180-48a2-8efd-504c485689c8,Slaves,Slaves,Talk to a Friend - Slaves
126,bede4b80-fefb-4466-8f46-dd6882c41141,7f6a9329-0988-4ede-ab56-cbd8d32aa00b,J.I.D,J.I.D  &  J. Cole ,Off Deez - J.I.D  &  J. Cole 
126,bede4b80-fefb-4466-8f46-dd6882c41141,7f6a9329-0988-4ede-ab56-cbd8d32aa00b,J. Cole,J.I.D  &  J. Cole ,Off Deez - J.I.D  &  J. Cole 
127,50022d56-868c-44c0-aae0-2cd2c83c93d9,ac78bdda-b144-4645-8fb6-846c7d6d0018,A$AP Rocky,A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2) - A$AP Rocky
128,1ce13a46-598b-4ff4-b7f3-2031ac467a0b,fd948fd2-c9e8-435f-b2bc-9ed7c570fd55,Sleep Theory,Sleep Theory,Gravity - Sleep Theory
129,18ef0c46-2cd0-409a-8c72-1b49d4904bad,8759fb1e-9190-4887-a1da-c16861ed8261,Sleeping With Sirens,Sleeping With Sirens,A Trophy Father’s Trophy Son - Sleeping With Sirens
130,0ad778ba-076a-4483-8e9e-63d0ffbdd013,d1aafb17-54ae-47d3-bcde-af2b7c6da925,Sleep Token,Sleep Token,Emergence - Sleep Token
131,c51bd662-d97e-4c67-bc3b-edacd7e02270,6af9c583-f619-4ab5-9bc0-af5f97133482,Big Sean,Big Sean,Jump Out the Window - Big Sean
132,4b53d070-4adf-4c69-885d-fcb83e9c4518,f2bd2dc5-46c5-49e8-a083-5f58f62606ae,Too Close to Touch,Too Close to Touch,Sympathy - Too Close to Touch
133,7d699da8-f66c-484f-ae76-7936c2991c6c,28979ba5-252e-474d-b1da-433c5e91807e,Sleeping With Sirens,Sleeping With Sirens,Your Nickel Ain’t Like My Dime - Sleeping With Sirens
134,b3922b8f-76ce-4ce0-8e58-355529e37636,7164d3f9-adde-4c19-979f-a168129e6b36,Dayseeker,Dayseeker,Neon Grave - Dayseeker
135,571fd4a0-8a01-4019-8b7c-11e76b63abc0,7616d73a-d485-4852-abf6-6280f78b6c62,Dayseeker,Dayseeker,Pale Moonlight - Dayseeker
136,5a8e3f26-cb9f-407b-bd08-67e4bdb9d9f0,aadeced3-ae64-4ef7-afce-2d72cfddfd80,Justice,Justice  &  Tame Impala ,Neverender - Justice  &  Tame Impala 
136,5a8e3f26-cb9f-407b-bd08-67e4bdb9d9f0,aadeced3-ae64-4ef7-afce-2d72cfddfd80,Tame Impala,Justice  &  Tame Impala ,Neverender - Justice  &  Tame Impala 
137,0db8ce1a-0170-480e-b58d-d3037ec3442e,97219ded-43e6-4fce-b934-ea88eca5d7cd,Fall Out Boy,Fall Out Boy,"“The Take Over, the Breaks Over” - Fall Out Boy"
138,ee86a7a4-d62c-42c1-ad4d-5e727fc783f3,60d0e471-ada9-4bc2-937f-b208fbaef332,Falling in Reverse,Falling in Reverse,"God, If You Are Above… - Falling in Reverse"
